Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0925505753581471,0.0774378875267896,0.0428958855617295,0,0,0,3.2296162277104,0.00580312787317233,1.93643410747136E-06,7.56620702253013E-07,0.00722042643267797,3.86677335642941E-07,0.0125136556433194,0,0,0,0,0,0,package://model20/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/base_link.STL,,1. E-baseline-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_front_wheel_suspension,-0.00786753377996491,-0.0155948984609842,0.0232556468762561,0,0,0,0.0651133753252895,1.48802654908116E-05,1.64845451975804E-08,-1.56420031463122E-07,1.75245555055195E-05,-2.96403540336096E-09,8.01010024686586E-06,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel_suspension.STL,,3.Suspension_L-1,Origin_left_front_wheel_suspension_joint2,Axis_left_front_wheel_suspension_joint2,left_front_wheel_suspension_joint,prismatic,-0.019998715602551,0.155491237481961,-0.0309978167969167,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
left_front_wheel,0.0158399891826273,-4.59981459866032E-09,7.99690621500204E-08,0,0,0,0.22822169800504,0.000789211576324215,-1.09995507949696E-10,1.91230261060066E-09,0.000410429434291453,-5.55665471860083E-16,0.000410429434301075,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/left_front_wheel.STL,,Wheel_3dprintABS-1,Origin_left_front_wheel_joint2,Axis_left_front_wheel_joint2,left_front_wheel_joint,continuous,-0.0197601403859578,-0.0217865728752538,0.00999990007507129,3.08413603591628,0,3.14159265358979,left_front_wheel_suspension,0.999999999987214,0,0,3.1,7,,,,,,,,,,
right_front_wheel_suspension,-0.00415434378457435,-0.0156302499401892,0.023255686661272,0,0,0,0.0651133753251555,1.48802639086072E-05,1.64845302056301E-08,1.56454773175217E-07,1.75245555054544E-05,2.96411876510216E-09,8.01010182899685E-06,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel_suspension.STL,,2.Suspension_R-1,Origin_right_front_wheel_suspension_joint2,Axis_right_front_wheel_suspension_joint2,right_front_wheel_suspension_joint,prismatic,-0.019998685205965,-0.0145086967784139,-0.0309978167969166,1.5707963267949,0,-1.5707963267949,base_link,0,1,0,0,0,0,0,,,,,,,,
right_front_wheel,0.015839199018542,1.11022302462516E-16,0,0,0,0,0.22822169800504,0.000789211576333899,-3.38234667441246E-20,5.30494838309806E-21,0.000410429434291421,-3.04931861011548E-19,0.00041042943429142,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/right_front_wheel.STL,,Wheel_3dprintABS-3,Origin_right_front_wheel_joint2,Axis_right_front_wheel_joint2,right_front_wheel_joint,continuous,0.00773912001850283,-0.0217849999999998,0.0100000000000001,0.162600051915931,0,0,right_front_wheel_suspension,1,0,0,3.1,7,,,,,,,,,,
camera,0.000445525429401739,-1.1063488044194E-05,0.00129821842499728,0,0,0,0.0436119955028422,2.35707059694687E-05,-1.01847086177763E-09,2.17583930111272E-08,4.29479039927907E-06,-8.85046657821899E-10,2.21058152194316E-05,0,0,0,0,0,0,package://model20/meshes/camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera.STL,,Webcam_C920 - 복사본-6,Origin_cam,Axis_camera,camera,fixed,0.00436446720302103,0.0765106026545475,0.0890002048500908,0,0.40142572795869,0,base_link,0,0,0,,,,,,,,,,,,
camera2,0.000445525266833613,-1.10639236487395E-05,0.00129821764747488,0,0,0,0.0436119958611831,2.35707063464805E-05,-1.01836626404867E-09,2.17587007085052E-08,4.29479063311557E-06,-8.85041666160431E-10,2.21058153836914E-05,0,0,0,0,0,0,package://model20/meshes/camera2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/camera2.STL,,Webcam_C920 - 복사본-5,Origin_cam2,Axis_camera2,camera2,fixed,0.000727509507186641,0.0765106026545475,0.154749082523395,0,0.174532925199424,0,base_link,0,0,0,,,,,,,,,,,,
lidar,-0.00868778989475805,-0.00242014065371566,-0.0287648859066119,0,0,0,0.0730845706063433,1.95808756057989E-05,-1.03933750894077E-07,4.28391241178119E-07,2.41250086761113E-05,-9.4271002259947E-09,4.14184522411216E-05,0,0,0,0,0,0,package://model20/meshes/lidar.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://model20/meshes/lidar.STL,,RPLidar-1,Origin_lidar_joint,Axis_lidar_joint,lidar_joint,fixed,-0.0642592027859291,0.0687050562666345,0.223497816796912,0,0,0,base_link,0,0,0,,,,,,,,,,,,
imu,0,1.38777878078145E-17,0.00250000000000002,0,0,0,0.000510000000000001,5.31250000000002E-09,-7.37257477290141E-26,-1.63010995363758E-40,5.31250000000002E-09,-5.52943107967612E-26,8.50000000000004E-09,0,0,0,0,0,0,package://model20/meshes/imu.STL,1,1,1,1,0,0,0,0,0,0,package://model20/meshes/imu.STL,,imu-1,Origin_imu2,Axis_imu,imu,fixed,-0.0950000000000001,0.117752824450965,0.169997816796917,0,0,0,base_link,0,0,0,,,,,,,,,,,,
left_rear_wheel_suspension,0.0115201581520793,0.0155948984609685,-0.00185653619692297,0,0,0,0.0651133753251553,8.01010182899682E-06,2.96411876510208E-09,-1.56454773175199E-07,1.75245555054544E-05,-1.64845302056277E-08,1.48802639086072E-05,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://model20/meshes/left_rear_wheel_suspension.STL,,suspension2-1;Dynamixel MX-28-1,Origin_left_rear_wheel_suspension_joint3,Axis_left_rear_wheel_suspension_joint2,left_rear_wheel_suspension_joint,prismatic,-0.293,0.1615,-0.030998,-1.5708,0,3.1416,base_link,0,1,0,0,0,0,0,,,,,,,,
